id,category,qusasa
36,4,لا توجه المديح إلا لمن يحتاج إليه، فإنك إن وجهته للشخص الخطأ أهدرت كرامتك بلا داع.
37,4,إنه من أبناء الزمن السهل، عندما كان كل ما عليك كي تحقق طموحاتك هو أن تتعب وتكدح فقط!
38,4,حينما يقول محدثي (بلا غرور) أعرف أنه سيقول عبارة مغرورة مستفزة تجعلني أود لو حطمت أنفه!
39,4,بعد لم يخلق الرجل الذي يقاوم لذة العبث بأصابع قدميه عندما يجلس، والذي يتحمل وجود جهاز كهربي له مسامير ظاهرة دون أن يعبث في المسامير بالمفك.
40,4,اللي غايب يرفع إيده.. هذه الدعابة التي لم يكف المدرسون عن ترديدها في كل زمان ومكان.. بالتأكيد قالها أول مرة رجل كهف يعلم تلاميذه تقنيات صيد الدببة.
41,4,أحياناً تجد من الضروري أن تكون هناك امرأة مسنة محنكة في أمور مثل السبوع والولادة والزفاف.. تلك المرأة التي تعرف كل شيء عن طريقة حساب يوم (الأربعين)، وعن الهدية المثلى للمريض، ولماذا لا يجب فتح المقص ليلاً، ولا كنس الدار في يوم الجمعة.. للأسف هذا الجيل قد انقرض أو كاد.
42,4,كان موظفًا منحرف المزاج وقحًا مع الجمهور.. لأنه غير مرتش!!
43,4,قال لي: أريد أن أسافر إلى أمريكا.. إلى بلد يعرف قدري.. قلت له: لماذا تريد أن تسافر لبلد يعرف قدرك؟ لماذا تريد هذه الفضيحة؟ في بلد طيب متسامح مثل مصر يمكن للحمار أن يظل مستورًا وأن يأمل في وجبة العشاء.. لكن هناك سيفتضح أمرك خلال ربع ساعة.. نصيحتي هي.. ابق هنا!
44,4,كانت الحوائط مكسوة بتلك العبارات التي يعتقد متوسطو التعليم أنها بليغة جدًا مثل (الخط خطي والدمع يسيل على خدي) و(الذكرى ناقوس يدق في عالم النسيان).. دعك من الطبيعة الكامنة فيهم أن الأديب لابد أن يكون حزينًا.. ما أن يمسك الواحد منهم القلم حتى يتحول إلى روح معذبة جريحة لم يفهم الناس كم هي رقيقة رائعة!
45,4,"رأيي في هذا الرجل؟ يلخصه بيت الشعر العبقري:
رأى البيت يدعى بالحرام فحجه .. ولو كان يدعى بالحلال ما حجا!"
46,4,قال دون أن تهتز له شعرة: إن الفتاة التي ستتزوجني لا تعرف مدى الكسب الذي حصلت عليه.. إنها محظوظة ولا أملك إلا أن أحسدها!
47,4,بالنسبة لك الناس قسمان: قسم يعرف أكثر منك وهؤلاء علماء، وقسم يعرف أقل مما تعرف وهؤلاء حمير! ترى أين تصنف من يعرفون مثلك؟
48,4,قرر أن يتخلى عن شرفه وأن يبيع مبادئه رخيصة.. لكنه لم يجد أي مشتر برغم ذلك! أي نحس هذا؟!
49,4,الفارق الوحيد بين أية مشادة عادية ومشاجرة عنيفة هو المخلص (بتشديد اللام).. الشخص الذي يتدخل صائحًا: حقك عليا.. إنتوا إخوات.. إلخ.. هو الذي يعطي للمشاجرة شكلها العادي ولولاه لانتهت الأمور بسرعة وسلاسة.
50,4,الناس ينجبون كي تكون عندهم ذريعة للاستسلام للقهر.. عندها يصير بوسعهم أن يقولوا: لولا أطفالنا لكنا قد فعلنا كذا وكذا.
51,5,منذ كنت في الرابعة عشرة أفكر في كتابة قصيدة تقول: مثل النساء جميعهن تعلمت كيف الكلام بدون أن تتكلما.. وحتى اليوم لم أجد المزاج الرائق لكتابتها!
52,5,هناك لحظة في حياة كل فنان مصري يقرر فيها أن وقت المواعظ المباشرة والمُثُل قد جاء.. هذا الطور مرت به فاتن حمامة ثم سميرة أحمد ثم محمد صبحي.. مادام فنانًا كبيرًا فلابد أن يقول كلامًا كبيرًا وأن يكون ملحميًا كأنه ضمير الأمة القادم من عالم لا وجود له.. إنها لحظة موت الفن.
53,5,المشكلة أن هناك من قال إن الورود للموتى والذي في المقدمة يُضرب بالحجارة.. بهذا لا يعتقد الرديء أبدًا انه رديء.. إنهم يهاجمونني لأنهم حاقدون.
54,5,الكتابة ميزان يتأرجح بدقة بين حاسة الناقد و الرضا الأحمق عن النفس.. لو زادت عندك حاسة الناقد فأنت لن تكتب حرفاً.. أما لو زاد الرضا الأحمق عن النفس فأنت فقدت القدرة على معرفة الجيد.
55,5,أفهم أنك لا تحب أعمالي.. ربما تعتبرني أسوأ شيء في العالم.. هذا حقك.. لكن لا أفهم أن تعتبر هذا دينًا تسهر الليل تبشر به.. لا تريد أن تكرهني فقط بل لابد أن يحذو كل أهل الأرض حذوك.
56,5,الممثل الكوميدي في أغلب أفلامنا العربية ليس مطلوبًا منه إلا لعب دور الأبله.. أحدهم كان يحب حمارة وآخر كان يجلس كالكلب تحت سرير البطل!
57,5,ينتهي فيلم (العار) بنصيحة أخلاقية لا بأس بها.. تجارة المخدرات مربحة جداً بشرط أن تتعلم إخفاءها تحت البحيرات المالحة!
58,5,هو فيلم عن مصارعة النساء.. صنع لإرضاء الساديين الذين يحبون رؤية النساء الجميلات يُضربن، والماسوشيين الذين يحبون رؤية النساء الجميلات يضربن، والعاديين الذين يحبون رؤية النساء الجميلات فحسب!
59,5,أحب مباريات كرة القدم المعادة، حتى أقوم من البداية بتشجيع الفريق الذي سيفوز!
60,5,تمثيليات التلفزيون تجذب بعض الناس ليس لحبهم للدراما، ولكن لأنها تتيح لهم نوعًا بارعًا من التلصص على أحوال وبيوت الآخرين.
61,5,اتهمني مرة بأنني لص ومرة بأنني ممل.. طيب إزاي؟ اللص لا يسرق إلا الروائع، والممل لا يمكن أن يكون سارقًا.. هذا نموذج آخر للمنطق الغبي الذي ينساه صاحبه في وسط الكلام.
62,5,معظم الأدباء يتحدثون عن سيرتهم الذاتية في العمل الأول فيأتي العمل عميقًا رائعًا، لأنه لا شيء أعمق من الحياة ذاتها.. المشكلة تبدأ مع العمل الثاني!
63,5,إنه من تلك الأفلام (العميقة) التي يظهر فيها حسن حسني بجلباب ممزق متسخ مع صورة عبد الناصر مع لقطات من جنازة عبد الحليم حافظ.
64,5,كان شريرًا بحق.. يشاهد فيلمًا لشارلي شابلن فيتمنى أن ينتصر رجل الشرطة الضخم على شارلي! ويتمنى أن ينجح الثعلب المكار في التهام الخنازير الثلاثة!
65,5,ليتنا أنا وأنت جئنا العالم قبل اختراع التلفزيون والسينما لنعرف هل هذا حب حقًا أم أننا نتقمص ما نراه؟
66,5,بعد عام من الكتابة اكتشفت أنني – للأسف – لن أصير نجيب محفوظ لمجرد أن لي شامة على خدي، ولن أصير الشابي لمجرد أن عيني صغيرتان حائرتان، ولن أصير ناجي لمجرد أنني موشك على الصلع.
67,5,لولا أن مؤلف هذه المسرحية هو شكسبير لألقيتها في الزبالة أو استبدلت بها خمس مجلات ميكي من عند عم أحمد.. حقًا إن لبعض الأسماء رهبة.
68,5,مشكلة المثقفين الذين لا يفهمهم أحد هي أنهم سعداء فخورون بأنهم مثقفون لا يفهمهم أحد.
69,5,باختصار أنا كلمات.. بعضها مضحك وبعضها حزين وبعضها مفتعل.. كلها في دفاتر ليست معي في هذه اللحظة.. بحثت عني فلم أجدني!
70,5,قصائد هؤلاء الشعراء القدامى متحجرة بشكل لا يصدق.. كلمات مبتذلة عن (العذل) و(السهاد) و(الوداد) و(القراطيس) و(الحنين).. لكن جرب أن تحب مرة.. عندها تفتح هذه القصائد عينيها كما يحدث للمومياوات العائدة في الأفلام.. فجأة تصير رائعة مليئة بالحرارة، وتكتشف أنه ما من طريقة للتعبير عن السهاد إلا بلفظة (سهاد) ولا يمكن التعبير عن الكرى إلا بلفظة (كرى).. عامة لا يمكن قراءة الشعر والاستمتاع به إلا وأنت في حالة من التهور العاطفي.. حب مجنون.. كراهية عمياء.. حزن دام.. غضب مشبوب.. فيما عدا ذلك لن تجده إلا مجرد كلام مقفى موزون.
71,5,كلما تصفحت ديوان شعره تساءلت: كيف لم تخطر لي هذه الأفكار البسيطة العبقرية؟ يا لي من أحمق!
72,5,كانت ندوة سقيمة من تلك الندوات التي يتحدث فيها كل واحد ليثبت للآخرين أنهم حمير.
73,5,كانت السيارة تمر بجوار النهر، عندما رأيت ذلك الرجل يقف شامخًا شاردًا ينظر للماء.. بدا لي في الظلام وتوهج اللآلئ على صفحة الماء كأنه أسطورة.. كأنه جزء أصيل من هذا الكون.. وتساءلت عن الخواطر العبقرية التي تدور في ذهن هذا الطيف.. أية قصيدة.. أية ذكريات.. لم يخيب الرجل ظني فقد كان أعمق مما تصورت.. لقد فتح سرواله وراح يبول في الماء!
74,6,هؤلاء الجالسون إلى الكمبيوتر لا يفعلون شيئًا إلا إرسال أية رسالة تصلهم إلى مائة عنوان آخر.. أعتقد أنهم لا يقرءون ما يصلهم أصلاً.
75,7,المفترض أنها فتاة شابة لكنها تبدو كأنها أم وزوجة تحمل الهم.. فقط هي على بعض الرونق لفترة مؤقتة جدا حتى تفوز بزوج بعد هذا تصير على طبيعتها.
76,7,تجملت ثم خرجت لتعذب الشباب قليلاً.. يسرها أن أحدهم لن يشعر براحة حينما يراها.
77,7,المرأة الخيالية أو الحالمة هي الجحيم ذاته.. لأنها لن تجد من تبحث عنه أبداً.. لن تجد فارسها وسوف تكتفي بتعذيب البائس الذي رضيت به.
78,7,لو اتضح بعد هذا أنك لا تحبين آخر فأنت ألعن مجنونة عرفتها.. هذا هو المبرر الوحيد لما تفعلين.
79,7,هي ليست غبية.. فقط بعد هذه السن لا تستطيع أن تتعلم شيئاً جديداً ولا ترى هنالك ما يستحق.
80,7,صديقة البطلة.. لماذا تكون أجمل من البطلة نفسها لكنهم لا يعون ذلك؟
81,7,ليس لها إخوة ذكور.. هذا رائع! هذه هي الفتاة الوحيدة التي لن تقول لك: أنت في معزة أشرف أو هشام أخي! فلتغتنم الفرصة سريعًا وإلا فأنت أحمق!
82,7,لأنني أعرفك جيدًا، فأنا أحسد كل المحظوظين الذين رفضت الزواج منهم!
83,7,لابد أن هناك في مكان ما مصنعًا ينتج الفتيات اللاتي يلبسن الحجاب والجوب الجينز الضيقة والحذاء الكوتشي والعوينات ويحملن الموبايل.. وهو أنشط مصنع في العالم.. فلابد أن مديره ياباني!
84,7,فتاة كئيبة باردة كالثلج، تنظر إلى أنوثتها على أنها عار ألحقته بها السماء لسبب مجهول.
85,7,"حسن.. انتهت قصة الحب.. ها هي ذي تدخل ورشة ذكرياتي لإعادة تدويرها حيث يتم الاستفادة بكل شيء منها.. سيتم تفكيك (......) تمامًا..
منها ما يصلح ليضاف إلى كومة حكمتي.. ومنها ما يصلح نواة لقصة جيدة.. ومنها عقد نفسية طازجة أضيفها لكومة عقدي.. بعض الأجزاء من وجهها تصلح لتكوين تمثال لفتاة (أريد أن أحبها) لو قابلتها يومًا ما.. بعض الأجزاء سيضيف تجاعيد لوجهي أو شعيرات بيضاء في رأسي..
هل بقى ما يكفي لقصيدة؟ لا أظن..
أما ما بقى فيصلح للسرد على مسمع صديقي (أيمن الجندي) في أمسية حزينة ونحن نمشي في شارع البحر..
الخلاصة أنني سأستفيد بكل شيء من هذه القصة..
أما الآخر فقد أخذها هي ذاتها فقط.. يا لي من محظوظ!!"
86,7,فتيات خبيثات لا يكففن عن الهمس والضحكات المختلسة.. معهن شعرت بأنني ذئب وديع تحيط به الحملان المفترسة!
87,7,"قلت لها مغضبًا: لماذا تميل النساء إلى الرجال الأوغاد الذين لا يوحون بأي ثقة؟
قالت في برود: مثلما تنجذبون معشر الرجال إلى الفتيات المائعات اللاتي لا يعرفن كيف يرعين طفلًا أو يحفظن بيتًا."
88,7,يمكنني أن أحب ألف واحدة غيرك.. وإن كنت أنت لا تبالين بي فهذا بوسع أية واحدة منهن!
89,8,أريد قرضًا أشتري به سيارة فاخرة.. سيارة أركبها إلى المصرف يوم أطلب قرضًا أكبر!
90,8,لي في هذا العالم 42 سنة ولم أر قط شخصًا يغير رأيه إذا سمع رأيًا أفضل، ولم أر سلعة ينخفض سعرها بعد الارتفاع.
91,8,كان لابد للموبايل أن ينتشر في مصر.. ومن نفس المنطق كان لابد أن ينجح اللاب توب.. هذه لعبة شائقة لا يمكن لمصري أن يقاومها: أن تبدو شديد الأهمية.. أن تشبه المديرين التنفيذيين الأمريكيين.. كان لابد للعبة أن تنجح وأن تمتص بالوعتها الاقتصاد المصري.
92,8,الراتب الذي أتقاضاه مطبوع على ورق من نوع خاص.. ورق يمارس ظاهرة التسامي (أي التحول إلى غاز) مثل الورق الذي تطبع عليه ملفات المخابرات الخطرة.
93,8,أريد أن أجمع قدرًا من المال يكفي لعلاج الأمراض التي أصابتني أثناء جمعه!
94,8,لو سمح ببيع اللحم البشري عند الجزارين، لارتفعت قيمة الإنسان مرة أخرى.. عندئذ سيكون سعرك يا صديقي آلاف الجنيهات.
95,8,"السيد الأستاذ عميد الكلية:
برجاء التكرم بالموافقة على مضاعفة راتبي حيث أن أحلامي تحتاج إلى راتب عال.
وتفضلوا بقبول وافر الشكر.

مقدمه لسيادتكم .......
"
96,8,لو أن أبا الهول وجد عقد عمل للخليج لسافر خلال أسبوع.. الحمد لله أنهم لا يعطون التماثيل عقود عمل!
97,9,أمقت المريض والصديق الذي لا يخبرك إلا بأخبار سيئة.. فقط.. يقول لك إن الحمى عادت.. إذن هي كانت قد زالت فلماذا لم تقل لي؟
98,9,مادة علم الأدوية هي ثمرة ذلك الزواج غير المقدس بين علمي (وظائف الأعضاء) و(الكيمياء الحيوية).. والنتيجة إنجاب ابن حرام فعلًا!
99,9,الدواء الذي ليست له آثار جانبية ليست له آثار أصلًا.. قاعدة يعرفها كل صيدلي لكنه لا يعترف بها علنًا!
100,9,جنون البقر ثم إنفلونزا الدجاج.. ترى متى يبدأ جذام السمك؟
101,9,تبدأ تشيخ عندما يكف الأطباء عن وصف الألم في كتفك الأيسر بأنه مجرد أعراض نفسية.. مرحبًا بك في عالم انسداد الشرايين التاجية الرحب!
102,9,في امتحان علم الحيوان تساءلت في رعب عن صغر هذا الصرصور الذي علي تشريحه، ثم اكتشفت في رعب أنه ضفدع وليس صرصورًا!
103,9,سن الخمسين هي اللحظة السعيدة التي تفلت فيها من براثن سرطان الدم لتقع في أحضان سرطان البروستاتا!
104,9,امتحانات الشفوي في كلية الطب هي الامتحانات الوحيدة التي تعاقب فيها على سوء حظك!
105,10,تلاشت مبررات حياتي فجأة كما في صلاة الجمعة، عندما تذوب الصفوف من حولك.. اثنان ينضمان للصف خلفك وثلاثة للصف أمامك.. في النهاية تجد أنك تقف وحيدًا في صف خاص بك مهددًا بأن صلاتك غير صحيحة ما لم تجد صفًا يقبلك.
106,10,في الفيلم الذي تعرضه الطائرة قبل الإقلاع ترى المضيف الوسيم يضحك وهو ينفخ سترة النجاة في أناقة.. منتهى السعادة لسقوط الطائرة.
107,10,أنت تمشي في طريق الضياع يا صاحبي.. لكن لو أضعت هذا الطريق تكون قد ضعت لا محالة!
108,10,من الأسئلة الكونية التي تحيرني: كيف لا ينغرس الرمح في صدر الحكام في مسابقات رمي الرمح؟
109,10,الأسماء العربية التي تكتب بحروف لاتينية تكون غريبة أصلًا بحيث تشك في نفسك.. لا يقابل المرء اسم (السطلاوي) إلا مكتوبًا بحروف لاتينية!
110,10,هناك من سيقرأ هذه الخواطر يومًا، لذا لن أسجل حرفًا واحدًا من ذلك السر الرهيب.
111,10,"وصف الأحمق لدى العرب: تقول له زيد فيكتب خالدا.. ويقرؤه عمرو ويفهمه بكرا!
عبقري كالعادة."
112,10,بعد أيام.. عندما تفقد التجربة ذاتيتها وأهميتها النابعة من كونها تجربتي أنا.. عندئذ قد أكتبها في قصة قصيرة.. وربما لا أفعل.
113,10,جو الشتاء الحزين ودفء البيت والحنين لشيء ما.. كل هذا يغريك بأن تلصق أنفك بزجاج النافذة وتحلم.. لكن هناك منذ ميلاد البشرية ما يرغم الإنسان على الخروج تحت الأمطار ذاهبًا لمكان ما.
114,10,الدرس الذي تعلمته من هذا الموقف هو: لا تصارح الآخرين بعيوبهم إلى أن يكتشفوها هم بأنفسهم.
115,10,ثلاثة يكسبون من فكرة الفرار من الموت.. الطبيب يكسب من الأمل في الفرار.. مندوب التأمين يكسب من اليأس من الفرار.. والحانوتي يكسب من فشل الفرار.
116,10,لا يكفيك أن تنساها.. يجب كذلك أن تنسى أنك نسيتها!
117,10,الإسلامية الأمريكية! كلما سمعت هذا الاسم يطلق على مدرسة أو شركة أو بقالة أو مصرف شممت رائحة النصب!
118,10,يمكن أن تألف كل المشاعر الكريهة ما عدا الملل.. لم ألق من يمل الحديث عن الملل.
119,10,الفارق بين (إمساك العصا من منتصفها) و(الرقص على السلم) واه جدًا، لا يشعر به إلا المحظوظون!
120,10,الثقة بالنفس كلام فارغ.. سوف يدهشك كم الأشياء التي لا تعرفها أو لا تجيدها.. المهم أن تثق بقدرتك على أن تكون أفضل.
121,10,أنا بخير.. لا ينقصني إلا المال والصحة والسعادة!
122,10,هذا الأحمق يتمادى في طموحاته.. تصوروا أن هذا الساذج يريد أن يعيش.
123,10,سأكون رجلًا آخر لكن ليس اليوم.. ربما غدا!
124,10,"السعادة ليست مكانًا.. بل هي اتجاه!
(برنارد شو)
"
125,10,أرجو أن تخفض الإضاءة.. فهذا يضفي على الحجرة جو الكآبة الذي أرجوه!
126,10,أقسى شيء في العالم أن تقنع من تحبه بأن يحب الأشياء التي تحبها أنت!
127,10,اعمل الخير وارمه في البحر.. بشرط أن يراك أحدهم وأنت تفعل ذلك.. عندها سيخبر الآخرين أنك لا تفعل الخير فقط، بل وترميه في البحر أيضًا!
128,10,رأيي في الموضوع؟ هل هناك من لا يعرف رأيي في الموضوع؟ هذه إهانة لهذا سأحترم نفسي وأصمت.
129,10,لو صار السفر إلى الماضي ممكنًا، لكان من الضروري أن يحيط بنا القادمون من عالم الغد!
130,10,معنى الصداقة هو أنني – تلقائيًا – أراك جديرًا بأن أئتمنك على جزء من كرامتي.
131,10,سر تكريمنا المبالغ فيه للموتى هو أنهم لن يضرونا بعد اليوم!
132,10,يومًا ما سأقرأ كل هذه الكتب وعندها أصير رائعًا.. المشكلة أن هذا اليوم لم يأت بعد.
133,10,ورقة في درجي كتبتها في السابعة من عمري أودع فيها العالم لأنني قررت الانتحار!! أصابني الهلع: ترى هل انتحرت فعلاً بعد ما كتبت الورقة؟ ربما.. أشعر أحيانًا بأنني جثة نخرة.
134,10,لقد سلبني القدماء أعظم أفكاري! لا أعرف من قال هذه العبارة لكنها أروع من أن أكون أنا صاحبها.
135,10,قال لي: كأنني طفل ظل يصرخ من أجل لعبة، ويشد شعره ويبكي.. فما إن أمسك بها حتى ألقاها أرضًا وراح يفتش عن لعبة جديدة.. إن النجاح ليس بالروعة التي تصورها لك لحظات الكفاح المرهقة.
136,10,تعريف التفاؤل؟ إذا قال القائد لجنوده إن العملية خطرة وإنه يتوقع أن يموت 99 من مائة منهم، فإن التفاؤل يجعل كل واحد ينظر لرفاقه دامعًا ويقول لنفسه: يحزنني فقد الرفاق!
137,10,إن من يعتقد أن الماضي لا يتغير لم يكتب مذكراته قط! بالفعل! حينما كتبت مذكراتي مررت بمرحلة أولى من التلفيق.. ثم مرحلة ثانية من تصديقي لهذا التلفيق حتى صارت هذه ذكرياتي فعلاً!
138,10,كان يعتقد أن بلاهته وعقده فريدة من نوعها.. عندما اختلط بالناس أدرك أنه وباء متفش.. وقد أصابه هذا بالذعر.. كان يحسب نفسه متميزًا أكثر من هذا!
139,10,اليوم هو أول يوم فيما بقى لي من عمر.. عبارة شكسبيرية عبقرية!
140,10,في كل مأزق في حياتي كنت أنتظر ذلك الشيء الذي لم أكن أعرف أنه عندي ليخرجني من هذا المأزق.. أنا الآن في انتظار هذا الشيء!
141,10,هل حدث أبدًا أن كان مفعول كوب الماء المثلج الأول بعد الإفطار في رمضان بالروعة التي تصورتها وأنت ظمآن؟ إن النجاح ليس أبدًا كما تخيلته.
142,10,"حرف H الذي لا لزوم له والذي يصر الغربيون على وضعه في كلمات مثل Bohr التي تنطق (بور) وسواها.. أعتقد أنهم يضعونه ليعطوا فرصة للمتحذلقين.. أنطق أنا الاسم (بوهر) فيهز أحدهم رأسه في حكمة ووقار مع مسحة لا بأس بها من تسامح الأنبياء ويقول: كلا.. إنه ينطق (بور)..
رأيي أن هذا الحرف وضع فقط على سبيل الهدية لأمثال هؤلاء."
143,10,هناك قلب شيخ في صدري.. من الشيخ تعس الحظ الذي أخذ قلبي الشاب؟
144,10,أنا والآخرون لا يمكن أن نجتمع في عالم واحد! إن هذا لكثير.
145,10,"ويفنى كل شيء..
كل الأحلام والشهوات والصراعات تموت..
ويبقى حبي المقدس لك يا طبق البامية الحبيب!"
